question1,question2,is_duplicate
What is quantum computing and its applications?,How do I improve my sleep quality?,0
What are renewable energy sources?,What are renewable energy sources?,1
What is the best way to learn Python programming?,is What the most effective approach to learn Python programming?,1
What are the symptoms of diabetes?,Can you describe symptoms the of diabetes?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
How do I prepare for a job interview?,How do I cook a perfect pasta dish at home?,0
What is data science and its applications?,How do I prepare for a job interview?,0
What are renewable energy sources?,How can I save money on a tight budget?,0
How do I improve my sleep quality?,What are the health benefits of drinking green tea?,0
How can I improve my memory and concentration?,What is the best way to improve memory my and concentration?,1
What are renewable energy sources?,What is the best way to learn Python programming?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
What is quantum computing and its applications?,What is the difference between AI and machine learning?,0
How can I be more productive at work?,How can I improve my memory and concentration?,0
What are the causes of climate change?,Can you describe the causes climate of change?,1
How can I be more productive at work?,What is the best way to be productive more at work?,1
What are the best practices for software development?,Can you describe the best practices for software development?,1
How can I improve my writing skills?,What is blockchain technology?,0
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What are the benefits of regular exercise?,What is the difference between Java and Python?,0
How does the stock market work?,How does the stock market work?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What are the causes of climate change?,What are the benefits of regular exercise?,0
How do I improve my sleep quality?,What are the symptoms of diabetes?,0
How do I improve my sleep quality?,What are the symptoms of diabetes?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What are the symptoms of depression?,How can I build a strong personal brand online?,0
How can I build a strong personal brand online?,What are the symptoms of depression?,0
How can I save money on a tight budget?,What is the best way save to money on a tight budget?,1
How can I lose weight quickly and safely?,How do I improve my sleep quality?,0
What are renewable energy sources?,What is data science and its applications?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
How can I improve my writing skills?,How do I improve my sleep quality?,0
What is machine learning and how does it work?,What are the health benefits of drinking green tea?,0
How do I improve my sleep quality?,What are the to steps improve my sleep quality?,1
How can I improve my writing skills?,What is the difference between Java and Python?,0
How do I improve my English speaking skills?,What is blockchain technology?,0
What is machine learning and how does it work?,Please explain machine learning how and does it work?,1
How do I cook a perfect pasta dish at home?,are What the steps to cook a perfect pasta dish at home?,1
What are the symptoms of diabetes?,What is machine learning and how does it work?,0
How do I start a successful business from scratch?,What are the health benefits of drinking green tea?,0
What is the difference between AI and machine learning?,What is the difference between Java and Python?,0
How do I prepare for a job interview?,How can I save money on a tight budget?,0
How do I improve my English speaking skills?,What are the best practices for software development?,0
How do I prepare for a job interview?,How can I improve my writing skills?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
How does the stock market work?,How does the stock market work?,1
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
What is quantum computing and its applications?,How can I improve my writing skills?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
What are the causes of climate change?,How can I save money on a tight budget?,0
How do I cook a perfect pasta dish at home?,How do I negotiate a salary increase?,0
How do I learn a new language quickly?,How do I negotiate a salary increase?,0
What is blockchain technology?,Please explain blockchain technology?,1
How can I build a strong personal brand online?,How can I save money on a tight budget?,0
What are the symptoms of depression?,How do I start a successful business from scratch?,0
How can I improve my memory and concentration?,What is deep learning and neural networks?,0
What is blockchain technology?,How can I improve my writing skills?,0
What are the best practices for software development?,How do I prepare for a job interview?,0
How do I learn a new language quickly?,What is quantum computing and its applications?,0
How can I build a strong personal brand online?,What is the best way to build strong a personal brand online?,1
What is deep learning and neural networks?,What are the benefits of regular exercise?,0
What is blockchain technology?,Please explain blockchain technology?,1
What is data science and its applications?,What is machine learning and how does it work?,0
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
How do I cook a perfect pasta dish at home?,How do I negotiate a salary increase?,0
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
What is the difference between AI and machine learning?,explain Please the difference between AI and machine learning?,1
What is machine learning and how does it work?,What is blockchain technology?,0
How can I lose weight quickly and safely?,What is data science and its applications?,0
What is quantum computing and its applications?,How do I improve my sleep quality?,0
How do I improve my sleep quality?,How do I learn a new language quickly?,0
How can I save money on a tight budget?,What is the best way save to money on a tight budget?,1
What are the best practices for software development?,What are the benefits of regular exercise?,0
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
How can I improve my writing skills?,What are renewable energy sources?,0
How do I start a successful business from scratch?,How does the stock market work?,0
What is the difference between AI and machine learning?,How do I improve my English speaking skills?,0
What is machine learning and how does it work?,How can I improve my writing skills?,0
What are the health benefits of drinking green tea?,How can I build a strong personal brand online?,0
What is the difference between AI and machine learning?,What are the symptoms of depression?,0
What is data science and its applications?,Please explain science data and its applications?,1
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
How can I improve my memory and concentration?,What is blockchain technology?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
What is machine learning and how does it work?,How do I start a successful business from scratch?,0
What are the symptoms of depression?,How do I learn a new language quickly?,0
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
How do I improve my English speaking skills?,What is deep learning and neural networks?,0
How does the stock market work?,How does the stock market work?,1
How do I negotiate a salary increase?,What is data science and its applications?,0
How can I build a strong personal brand online?,How does the stock market work?,0
How can I lose weight quickly and safely?,What are the symptoms of depression?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits drinking of green tea?,1
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What is machine learning and how does it work?,What is the best way to learn Python programming?,0
How do I prepare for a job interview?,How do I start a successful business from scratch?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
How do I cook a perfect pasta dish at home?,How do I negotiate a salary increase?,0
How can I be more productive at work?,What is the best way to be more productive at work?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
What are the symptoms of depression?,How can I save money on a tight budget?,0
What are the benefits of regular exercise?,How do I cook a perfect pasta dish at home?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What are the benefits of regular exercise?,What are the best practices for software development?,0
What is the difference between Java and Python?,Please explain the between difference Java and Python?,1
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
How can I improve my writing skills?,What is data science and its applications?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
How can I save money on a tight budget?,How can I lose weight quickly and safely?,0
How do I improve my sleep quality?,How do I learn a new language quickly?,0
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is blockchain technology?,How does the stock market work?,0
How does the stock market work?,How does the stock market work?,1
How can I lose weight quickly and safely?,What is the best way to learn Python programming?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What is deep learning and neural networks?,Please explain learning deep and neural networks?,1
How do I improve my English speaking skills?,How can I reduce stress and anxiety in daily life?,0
How can I be more productive at work?,What are the causes of climate change?,0
How can I be more productive at work?,What are the best practices for software development?,0
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
How do I improve my English speaking skills?,are What the steps to improve my English speaking skills?,1
How can I save money on a tight budget?,What is the best way to money save on a tight budget?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What are renewable energy sources?,How can I build a strong personal brand online?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
How do I start a successful business from scratch?,What are the steps to start successful a business from scratch?,1
What is data science and its applications?,Please explain data science and its applications?,1
What is the difference between Java and Python?,What is machine learning and how does it work?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What are renewable energy sources?,What are renewable energy sources?,1
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What is blockchain technology?,How can I reduce stress and anxiety in daily life?,0
How can I build a strong personal brand online?,What are the symptoms of depression?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What is data science and its applications?,Please explain data science and its applications?,1
What is machine learning and how does it work?,What is the difference between AI and machine learning?,0
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is data science and its applications?,Please explain data science and its applications?,1
How can I lose weight quickly and safely?,What is the difference between Java and Python?,0
How do I learn a new language quickly?,How can I build a strong personal brand online?,0
How can I improve my writing skills?,How can I be more productive at work?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
How do I negotiate a salary increase?,How can I lose weight quickly and safely?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
How can I improve my writing skills?,How can I lose weight quickly and safely?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
How can I improve my memory and concentration?,How can I improve my writing skills?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
What is the difference between Java and Python?,How can I improve my memory and concentration?,0
How do I prepare for a job interview?,How do I improve my sleep quality?,0
How can I improve my memory and concentration?,How do I improve my sleep quality?,0
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
How do I improve my English speaking skills?,What are the steps to improve my speaking English skills?,1
What is the difference between AI and machine learning?,What is deep learning and neural networks?,0
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What is machine learning and how does it work?,What are the symptoms of depression?,0
How does the stock market work?,What is blockchain technology?,0
What is machine learning and how does it work?,How do I improve my English speaking skills?,0
How can I be more productive at work?,What are the causes of climate change?,0
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How can I be more productive at work?,How can I lose weight quickly and safely?,0
How do I improve my English speaking skills?,What are steps the to improve my English speaking skills?,1
What is the difference between AI and machine learning?,How does the stock market work?,0
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
How do I improve my sleep quality?,What is quantum computing and its applications?,0
What is machine learning and how does it work?,What is data science and its applications?,0
What is the difference between Java and Python?,Please explain the difference Java between and Python?,1
What are the best practices for software development?,Can you describe best the practices for software development?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
What is blockchain technology?,What are the benefits of regular exercise?,0
What is the difference between AI and machine learning?,Please explain the difference AI between and machine learning?,1
How can I improve my memory and concentration?,What is the best way to improve memory my and concentration?,1
How do I improve my sleep quality?,What are the to steps improve my sleep quality?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
How can I save money on a tight budget?,How can I improve my writing skills?,0
How can I reduce stress and anxiety in daily life?,What are the symptoms of depression?,0
What is quantum computing and its applications?,Please explain computing quantum and its applications?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
What is the difference between AI and machine learning?,Please explain the difference between AI machine and learning?,1
What are renewable energy sources?,What are renewable energy sources?,1
How can I be more productive at work?,How can I improve my memory and concentration?,0
What are the causes of climate change?,How do I prepare for a job interview?,0
What are renewable energy sources?,What is the difference between Java and Python?,0
What is deep learning and neural networks?,How does the stock market work?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
How do I learn a new language quickly?,How can I improve my memory and concentration?,0
What are the symptoms of diabetes?,What are the health benefits of drinking green tea?,0
How do I improve my English speaking skills?,What are the best practices for software development?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
What is quantum computing and its applications?,Please explain quantum computing its and applications?,1
How do I improve my English speaking skills?,How can I improve my memory and concentration?,0
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What is the difference between AI and machine learning?,How can I save money on a tight budget?,0
What is quantum computing and its applications?,What are the symptoms of diabetes?,0
How do I start a successful business from scratch?,What are the symptoms of diabetes?,0
What are the causes of climate change?,How do I negotiate a salary increase?,0
What is data science and its applications?,Please explain data science and its applications?,1
How do I improve my English speaking skills?,How do I start a successful business from scratch?,0
What are the symptoms of depression?,Can you describe the of symptoms depression?,1
How can I save money on a tight budget?,is What the best way to save money on a tight budget?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What is the best way to learn Python programming?,What is the most effective to approach learn Python programming?,1
What are the health benefits of drinking green tea?,What are renewable energy sources?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the symptoms of depression?,Can you describe the of symptoms depression?,1
What is quantum computing and its applications?,What are the causes of climate change?,0
